상호명,소재지,경도,위도
"그린냉동,냉장",경상북도 구미시 고아읍 대평길 196-3,128.365349767,36.143570137
황학산전통활성탄흑포크영농조합법인,경상북도 칠곡군 지천면 황학2길 52,128.487291947,36.039505236
(주)아워홈구미식품공장,경상북도 구미시 장천면 장군로 339-4,128.531056415,36.124495648
디케이냉동산업(주),대구광역시 달성군 다사읍 서재로12길 39,128.494252043,35.867477434
(주)삼한냉동,경상북도 칠곡군 지천면 신동로 78-14,128.479035739,35.956190769
(주)대창냉동,대구광역시 북구 신천동로 960 (산격동),128.594151282,35.902374661
(주)이마트대구물류센터,대구광역시 달서구 성서공단북로 104 (호산동),128.484871094,35.843727864
(주)보담,경상북도 김천시 공단1길 26-34 (대광동),128.143870429,36.138080623
주식회사 프레시원대구경북,대구광역시 서구 국채보상로3길 25 (이현동),128.532728263,35.871174565
(주)그린랜드,경상북도 경산시 진량읍 대구대로 513,128.852355759,35.881155284
(주)축산랜드,경상북도 포항시 북구 장량로262번길 23 (양덕동),129.410062803,36.080576695
(주)프랜푸드,대구광역시 동구 팔공로 220-2 (봉무동),128.641674128,35.917519603
영농조합법인 나눔과섬김,경상북도 안동시 풍산읍 지풍로 1846-8,128.538712377,36.570607141
롯데제과 주식회사,대구광역시 북구 노원로 106,128.573396137,35.895442071
(주)대한냉동,경상북도 경산시 진량읍 대구대로 529,128.852455627,35.880309917
(주)하나로티앤에스,경상북도 칠곡군 지천면 신동로2길 91-33,128.479242080,35.967245873
(주)지에스네트웍스 경산지점,경상북도 경산시 진량읍 일연로 689,128.804237755,35.869182678
(주)영일만보세물류,경상북도 포항시 북구 청하면 동해대로2315번길 106,129.328937051,36.177948121
(주)상도에프엔엘,경상북도 칠곡군 지천면 금송로 339,128.449685377,35.950844650
(주)드림로지스,경상북도 경산시 진량읍 대구대로 513,128.852355759,35.881155284
이마트에브리데이 경산센터,경상북도 경산시 하양읍 지식산업2로 95,128.823895905,35.942579731
동원홈푸드 대구영업소,대구광역시 서구 평리로21길 21(중리동),128.534873337,35.860510707
창선물류,경상북도 칠곡군 왜관읍 아곡8길 31,128.431599616,36.019896946
이마트24 칠곡2저온센터,경상북도 칠곡군 왜관읍 공단로13길 6-15,128.408790400,35.962207868
주식회사 신선물류,경상북도 칠곡군 지천면 금호로1길 2-13,128.444990578,35.956688292
주식회사 세븐스타컴퍼니,경상북도 칠곡군 왜관읍 현대로 93,128.431607937,35.986466243
(주)제때,경상북도 경산시 진량읍 일연로 554,128.806407614,35.857878744
삼양사,대구광역시 북구 유통단지로13길 8 (산격동),128.610668299,35.908904606
안동봉화축협 하나로마트,경상북도 안동시 서후면 죽전길 138,128.598133939,36.598969480
(주)마하로지스,경상북도 칠곡군 왜관읍 삼청5길 50-22,128.430986459,35.979866775
(주)상도에프엔엘,경상북도 칠곡군 지천면 금송로 339,128.449685377,35.950844650
주식회사경대물산 그린냉동냉장,경상북도 구미시 고아읍 대평길 196-3,128.365349767,36.143570137
농업회사법인(주)고산들,경상북도 칠곡군 왜관읍 삼청5길 50-7,128.433423663,35.979382077
농업회사법인(주)고산들 왜관지점,경상북도 칠곡군 왜관읍 삼청5길 50-22,128.430986459,35.979866775
(주)신선물류,경상북도 칠곡군 지천면 금호로1길 2-13,128.444990578,35.956688292
주식회사 멕시카나(영천지점),경상북도 영천시 금호읍 앵기길 52,128.866118157,35.932938293
씨제이대한통운주식회사,경상북도 경산시 하양읍 지식산업2로1길 63,128.822057228,35.942944444
농업회사법인(주)키큰아이,경상북도 구미시 선산읍 죽장8길 18,128.273265998,36.243974334
(주)상도에프엔엘,경상북도 칠곡군 지천면 금호자원길 40,128.442185385,35.941303670
금성냉동(주),경상북도 경산시 진량읍 대구대로 535,128.853256792,35.879731419
(주)한익스프레스경북센터,경상북도 칠곡군 지천면 금호로1길 2-13,128.444990578,35.956688292
에이스후레쉬(주) 칠곡,경상북도 칠곡군 지천면 산단터널로 240,128.442743994,35.954255266
(주)한익스프레스칠곡센터,경상북도 칠곡군 지천면 금호로 356,128.449855727,35.961823064
(주)포항국제물류센터 냉동창고,경상북도 포항시 북구 흥해읍 영일만항로 236,129.434047806,36.100114576
(주)세븐스타컴퍼니,경상북도 칠곡군 왜관읍 현대로 93,128.431607937,35.986466243
